[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1773310670.907000 3/12/2026, 11:17:50 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, SSN101
INFO, WEIGHT, 0.000
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, IP
INFO, SEQUENCE FILE: Seq_SSN101_300K_IP.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1773313863.103,,-4.000000e+003,3.000082e+002,-9.850133e-005,0.000000e+000,2.277284e-002,0.000000e+000,3,9.376526e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773313975.641,,-4.500000e+003,3.000082e+002,-9.443027e-005,0.000000e+000,2.758577e-002,0.000000e+000,3,9.369515e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773314093.750,,-5.000000e+003,2.999995e+002,-8.987085e-005,0.000000e+000,3.212381e-002,0.000000e+000,3,9.322637e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773314207.422,,-5.500000e+003,3.000038e+002,-8.562022e-005,0.000000e+000,3.672907e-002,0.000000e+000,3,9.279798e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773314316.093,,-6.000000e+003,2.999995e+002,-8.144027e-005,0.000000e+000,4.229654e-002,0.000000e+000,3,9.252830e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773314425.353,,-6.500000e+003,3.000082e+002,-7.734580e-005,0.000000e+000,4.964473e-002,0.000000e+000,3,9.253569e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773314530.566,,-7.000000e+003,3.000038e+002,-7.207695e-005,0.000000e+000,5.507907e-002,0.000000e+000,3,9.106766e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773314639.669,,-7.500000e+003,3.000038e+002,-6.782688e-005,0.000000e+000,6.308420e-002,0.000000e+000,3,9.056966e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773314744.643,,-8.000000e+003,3.000038e+002,-6.422088e-005,0.000000e+000,7.348406e-002,0.000000e+000,3,9.071316e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773314849.227,,-8.500000e+003,3.000082e+002,-5.946323e-005,0.000000e+000,8.152087e-002,0.000000e+000,3,8.899753e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773314957.903,,-9.000000e+003,3.000038e+002,-5.543847e-005,0.000000e+000,9.347752e-002,0.000000e+000,3,8.812195e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773315067.451,,-9.500000e+003,2.999995e+002,-5.109279e-005,0.000000e+000,1.050983e-001,0.000000e+000,3,8.689965e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773315182.694,,-1.000000e+004,2.999995e+002,-4.655093e-005,0.000000e+000,1.300208e-001,0.000000e+000,3,9.035091e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773315204.044,,-1.000000e+004,2.999995e+002,-4.658656e-005,0.000000e+000,1.297813e-001,0.000000e+000,3,9.029716e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773315313.995,,-9.500000e+003,3.000038e+002,-5.063726e-005,0.000000e+000,1.129898e-001,0.000000e+000,3,9.126824e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773315423.480,,-9.000000e+003,3.000082e+002,-5.472987e-005,0.000000e+000,9.930468e-002,0.000000e+000,3,9.224167e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773315532.514,,-8.500000e+003,2.999995e+002,-5.889338e-005,0.000000e+000,8.786482e-002,0.000000e+000,3,9.298032e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773315637.715,,-8.000000e+003,2.999995e+002,-6.359487e-005,0.000000e+000,7.851240e-002,0.000000e+000,3,9.397401e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773315746.114,,-7.500000e+003,3.000038e+002,-6.772512e-005,0.000000e+000,6.910319e-002,0.000000e+000,3,9.427152e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773315850.160,,-7.000000e+003,3.000038e+002,-7.223498e-005,0.000000e+000,6.172293e-002,0.000000e+000,3,9.498733e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773315958.365,,-6.500000e+003,2.999995e+002,-7.657158e-005,0.000000e+000,5.443246e-002,0.000000e+000,3,9.524608e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.739502e-002,0,,0,
1773316067.153,,-6.000000e+003,3.000038e+002,-8.099474e-005,0.000000e+000,4.797919e-002,0.000000e+000,3,9.564472e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773316175.326,,-5.500000e+003,3.000082e+002,-8.521364e-005,0.000000e+000,4.214371e-002,0.000000e+000,3,9.587098e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773316292.124,,-5.000000e+003,2.999995e+002,-8.933579e-005,0.000000e+000,3.733456e-002,0.000000e+000,3,9.610220e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773316405.255,,-4.500000e+003,3.000082e+002,-9.370805e-005,0.000000e+000,3.259761e-002,0.000000e+000,3,9.643134e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773316523.706,,-4.000000e+003,3.000038e+002,-9.831716e-005,0.000000e+000,2.900604e-002,0.000000e+000,3,9.688224e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773316636.085,,-3.500000e+003,2.999995e+002,-1.023873e-004,0.000000e+000,2.464152e-002,0.000000e+000,3,9.680403e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773316757.282,,-3.000000e+003,3.000082e+002,-1.070203e-004,0.000000e+000,2.163040e-002,0.000000e+000,3,9.720116e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773316874.216,,-2.500000e+003,3.000038e+002,-1.113447e-004,0.000000e+000,1.868785e-002,0.000000e+000,3,9.727804e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773316990.825,,-2.000000e+003,2.999995e+002,-1.156311e-004,0.000000e+000,1.548454e-002,0.000000e+000,3,9.744784e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773317103.476,,-1.500000e+003,3.000082e+002,-1.199868e-004,0.000000e+000,1.269693e-002,0.000000e+000,3,9.746311e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773317220.567,,-1.000000e+003,3.000082e+002,-1.244279e-004,0.000000e+000,1.042985e-002,0.000000e+000,3,9.771019e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.730347e-002,0,,0,
1773317337.545,,-5.000000e+002,3.000038e+002,-1.286718e-004,0.000000e+000,8.419311e-003,0.000000e+000,3,9.787314e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773317458.903,,0.000000e+000,3.000038e+002,-5.486191e-005,0.000000e+000,1.684874e-002,0.000000e+000,3,9.515311e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773317570.507,,5.000000e+002,3.000038e+002,1.276214e-004,0.000000e+000,1.399040e-002,0.000000e+000,3,9.754685e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773317683.815,,1.000000e+003,3.000082e+002,1.231899e-004,0.000000e+000,1.621333e-002,0.000000e+000,3,9.743322e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773317805.065,,1.500000e+003,2.999995e+002,1.188917e-004,0.000000e+000,1.831970e-002,0.000000e+000,3,9.736859e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.739502e-002,0,,0,
1773317923.064,,2.000000e+003,3.000082e+002,1.146353e-004,0.000000e+000,2.173343e-002,0.000000e+000,3,9.620451e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773318045.047,,2.500000e+003,3.000082e+002,1.102368e-004,0.000000e+000,2.525368e-002,0.000000e+000,3,9.709240e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773318162.547,,3.000000e+003,2.999995e+002,1.058602e-004,0.000000e+000,2.792002e-002,0.000000e+000,3,9.671426e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773318275.147,,3.500000e+003,3.000038e+002,1.013356e-004,0.000000e+000,3.218919e-002,0.000000e+000,3,9.717839e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773318392.658,,4.000000e+003,3.000038e+002,9.719103e-005,0.000000e+000,3.735470e-002,0.000000e+000,3,9.660404e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773318510.487,,4.500000e+003,2.999995e+002,9.264152e-005,0.000000e+000,4.149567e-002,0.000000e+000,3,9.670662e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773318627.549,,5.000000e+003,2.999995e+002,8.827844e-005,0.000000e+000,4.676351e-002,0.000000e+000,3,9.638972e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773318741.157,,5.500000e+003,3.000038e+002,8.436046e-005,0.000000e+000,5.246410e-002,0.000000e+000,3,9.587801e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773318850.187,,6.000000e+003,2.999995e+002,7.973200e-005,0.000000e+000,5.797118e-002,0.000000e+000,3,9.597911e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773318959.849,,6.500000e+003,2.999952e+002,7.586863e-005,0.000000e+000,6.576988e-002,0.000000e+000,3,9.505698e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773319068.707,,7.000000e+003,2.999995e+002,7.140174e-005,0.000000e+000,7.324733e-002,0.000000e+000,3,9.475395e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773319177.614,,7.500000e+003,3.000038e+002,6.701093e-005,0.000000e+000,8.178130e-002,0.000000e+000,3,9.424486e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773319282.765,,8.000000e+003,3.000038e+002,6.245542e-005,0.000000e+000,9.110019e-002,0.000000e+000,3,9.417381e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773319387.562,,8.500000e+003,2.999952e+002,5.814646e-005,0.000000e+000,1.020166e-001,0.000000e+000,3,9.368707e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773319491.889,,9.000000e+003,3.000038e+002,5.389361e-005,0.000000e+000,1.147291e-001,0.000000e+000,3,9.270405e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773319596.998,,9.500000e+003,2.999995e+002,4.979291e-005,0.000000e+000,1.299855e-001,0.000000e+000,3,9.140977e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773319702.068,,1.000000e+004,3.000082e+002,4.556661e-005,0.000000e+000,1.473318e-001,0.000000e+000,3,9.034387e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
