[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1773240317.631000 3/11/2026, 3:45:17 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, SSN095
INFO, WEIGHT, 0.000
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, IP
INFO, SEQUENCE FILE: Seq_SSN095_300K_IP.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1773243397.208,,-3.500000e+003,3.000038e+002,-9.799399e-005,0.000000e+000,-8.854107e-003,0.000000e+000,3,9.705748e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773243519.236,,-4.000000e+003,3.000082e+002,-9.314720e-005,0.000000e+000,-1.062318e-002,0.000000e+000,3,9.702457e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773243631.828,,-4.500000e+003,2.999995e+002,-8.826148e-005,0.000000e+000,-1.428084e-002,0.000000e+000,3,9.660713e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773243744.789,,-5.000000e+003,2.999995e+002,-8.359191e-005,0.000000e+000,-1.703267e-002,0.000000e+000,3,9.656709e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773243848.667,,-5.500000e+003,3.000082e+002,-7.872178e-005,0.000000e+000,-2.043049e-002,0.000000e+000,3,9.606573e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773243957.057,,-6.000000e+003,2.999995e+002,-7.411512e-005,0.000000e+000,-2.347488e-002,0.000000e+000,3,9.619284e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773244066.362,,-6.500000e+003,2.999995e+002,-6.933493e-005,0.000000e+000,-2.704498e-002,0.000000e+000,3,9.627764e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773244175.550,,-7.000000e+003,2.999952e+002,-6.437326e-005,0.000000e+000,-3.249662e-002,0.000000e+000,3,9.551412e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773244279.900,,-7.500000e+003,2.999995e+002,-5.970588e-005,0.000000e+000,-3.778641e-002,0.000000e+000,3,9.567523e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773244389.251,,-8.000000e+003,3.000038e+002,-5.475113e-005,0.000000e+000,-4.438140e-002,0.000000e+000,3,9.462757e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773244494.331,,-8.500000e+003,3.000038e+002,-4.993614e-005,0.000000e+000,-5.247577e-002,0.000000e+000,3,9.416012e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773244604.088,,-9.000000e+003,3.000038e+002,-4.524238e-005,0.000000e+000,-6.172707e-002,0.000000e+000,3,9.316535e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773244732.622,,-9.500000e+003,2.999995e+002,-4.056204e-005,0.000000e+000,-7.138196e-002,0.000000e+000,3,9.324339e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773244838.322,,-1.000000e+004,2.999952e+002,-3.584210e-005,0.000000e+000,-8.613269e-002,0.000000e+000,3,9.231753e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773244858.891,,-1.000000e+004,3.000082e+002,-3.587403e-005,0.000000e+000,-8.581220e-002,0.000000e+000,3,9.293122e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773244973.121,,-9.500000e+003,3.000082e+002,-4.064876e-005,0.000000e+000,-7.122545e-002,0.000000e+000,3,9.377406e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773245077.630,,-9.000000e+003,2.999995e+002,-4.530156e-005,0.000000e+000,-6.117837e-002,0.000000e+000,3,9.371240e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773245182.534,,-8.500000e+003,3.000038e+002,-5.007856e-005,0.000000e+000,-5.164359e-002,0.000000e+000,3,9.458147e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773245296.533,,-8.000000e+003,2.999995e+002,-5.493469e-005,0.000000e+000,-4.374435e-002,0.000000e+000,3,9.587891e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773245410.522,,-7.500000e+003,3.000038e+002,-5.976270e-005,0.000000e+000,-3.723427e-002,0.000000e+000,3,9.604178e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773245519.105,,-7.000000e+003,3.000082e+002,-6.440177e-005,0.000000e+000,-3.271082e-002,0.000000e+000,3,9.550236e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773245629.165,,-6.500000e+003,2.999995e+002,-6.932355e-005,0.000000e+000,-2.749378e-002,0.000000e+000,3,9.611237e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773245737.815,,-6.000000e+003,3.000082e+002,-7.422650e-005,0.000000e+000,-2.336641e-002,0.000000e+000,3,9.647350e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773245846.105,,-5.500000e+003,2.999995e+002,-7.903338e-005,0.000000e+000,-1.919926e-002,0.000000e+000,3,9.699296e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773245968.627,,-5.000000e+003,3.000038e+002,-8.371890e-005,0.000000e+000,-1.627886e-002,0.000000e+000,3,9.704386e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773246082.544,,-4.500000e+003,3.000038e+002,-8.839940e-005,0.000000e+000,-1.372670e-002,0.000000e+000,3,9.681034e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773246200.033,,-4.000000e+003,2.999995e+002,-9.313520e-005,0.000000e+000,-1.162992e-002,0.000000e+000,3,9.689087e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
